symbol,unverified_ratio,unverified_number,total_number
AAVE/USDT,0.9643040575243965,3755.0,3894.0
ADA/USDT,0.4312096029547553,467.0,1083.0
BAL/USDT,0.052238805970149294,42.0,804.0
BIFI/USDT,0.2440944881889764,62.0,254.0
BNB/HT,0.5826023391812866,797.0,1368.0
BTC/USDT,0.6313551815766165,3564.0,5645.0
CAN/MDX,0.9661016949152542,228.0,236.0
DAI/USDC,1.0,16.0,16.0
DAI/USDT,0.790633608815427,861.0,1089.0
DOG/USDT,0.7623693379790941,1094.0,1435.0
DOGE/USDT,0.8828497980168931,2404.0,2723.0
DOT/USDT,0.8716617210682492,4700.0,5392.0
EDC/USDT,0.472998137802607,762.0,1611.0
ETH/BTC,0.7994628469113697,1786.0,2234.0
ETH/USDT,0.741264337156575,5558.0,7498.0
HT/BCH,0.9846153846153847,448.0,455.0
HT/BLACK,0.65625,21.0,32.0
HT/BTC,0.6494943713031864,3404.0,5241.0
HT/DOT,0.9491525423728814,168.0,177.0
HT/ETH,0.7438336288892471,4614.0,6203.0
HT/FIL,0.91015625,233.0,256.0
HT/HBELT,0.38220757825370677,464.0,1214.0
HT/HPT,0.7602459016393442,1113.0,1464.0
HT/HTMOON,0.6760404949381327,601.0,889.0
HT/LTC,1.0,10.0,10.0
HT/USDT,0.6804099441270639,43353.0,63716.0
LHB/USDT,0.7961448598130841,2726.0,3424.0
LINK/USDT,0.9417270531400966,3119.0,3312.0
MDX/BCH,0.3623853211009175,316.0,872.0
MDX/BEE,0.8787878787878788,116.0,132.0
MDX/BOO,0.8683191324554609,1121.0,1291.0
MDX/BTC,0.8448344635021938,4236.0,5014.0
MDX/COW,0.8372827804107426,530.0,633.0
MDX/DOT,0.7019328585961343,690.0,983.0
MDX/ETH,0.8850432632880099,4296.0,4854.0
MDX/FEI,0.47706422018348627,156.0,327.0
MDX/HFI,0.8463302752293578,369.0,436.0
MDX/HT,0.9931740614334471,291.0,293.0
MDX/LION,0.9896640826873385,383.0,387.0
MDX/LTC,0.42352941176470593,648.0,1530.0
MDX/PTD,0.9221556886227544,154.0,167.0
MDX/USDT,0.6419114246068456,22205.0,34592.0
MKR/USDT,0.13254113345521024,145.0,1094.0
MX/USDT,0.9267359212684527,1695.0,1829.0
ONE/USDT,0.5081967213114754,31.0,61.0
SLNV2/USDT,0.8563922942206655,489.0,571.0
SNX/USDT,0.950925925925926,2054.0,2160.0
SOVI/HT,0.9429657794676806,496.0,526.0
SWFTC/USDT,0.9370629370629371,402.0,429.0
TRIBE/USDT,0.099290780141844,14.0,141.0
UNI/USDT,0.9185467330794023,6270.0,6826.0
USD/BTC,0.052631578947368474,6.0,114.0
USD/DEP,0.8073047858942065,641.0,794.0
USD/ETH,0.6862745098039216,70.0,102.0
USD/FILDA,0.7908560311284046,1626.0,2056.0
USD/GT,0.8571428571428572,78.0,91.0
USD/HT,0.2678571428571429,1560.0,5824.0
USD/O3,0.43834664814171587,1262.0,2879.0
USD/USDT,0.7583342814882239,13330.0,17578.0
USDC/USDT,0.6301747930082797,685.0,1087.0
USDT/BCH,0.9233404710920771,2156.0,2335.0
USDT/BXH,0.794912559618442,500.0,629.0
USDT/COMP,0.9486119314825753,1606.0,1693.0
USDT/CON,0.7728706624605678,245.0,317.0
USDT/EOS,0.45035460992907805,508.0,1128.0
USDT/FIL,0.8555501302083334,10513.0,12288.0
USDT/HOO,0.7333333333333334,77.0,105.0
USDT/HPT,0.7605543022881083,2360.0,3103.0
USDT/JT,0.835820895522388,168.0,201.0
USDT/LTC,0.8518766756032172,2542.0,2984.0
USDT/NULS,0.745,298.0,400.0
USDT/PIPI,0.6716417910447761,225.0,335.0
USDT/SHIB,0.6419529837251357,2130.0,3318.0
USDT/YFI,0.9521707137601177,1294.0,1359.0
WOO/USDT,0.820979020979021,587.0,715.0
XRP/USDT,0.5615942028985508,310.0,552.0
ZT/USDT,0.0,0.0,1.0
